[STATUS] Running train.py with arguments: Namespace(dataset='ml100k', out_path='/home/FYP/siddhant005/fyp/code/src/logs/tmp/', L=11, H=3, topk=20, epoch_num=100, learning_rate=0.001, l2=0.0001, neg_samples=2, sets_of_neg_samples=50, dim=32, conv_layer_num=3, short_term_conv_layer_num=4, num_bases=3, adj_dropout=0, lambda_val=0.5, TSAL_head_num=2, TSAL_attn_drop=0.0, cross_attn_head_num=2, cross_attn_drop=0.0, verbose=True, debug=False, seed=123456, file_path='/home/FYP/siddhant005/fyp/code/data/processed/ml-100k/', batch_size=128)
========================================================================================================================================================================================================
[INFO] device: cuda 
========================================================================================================================================================================================================
[STATUS] Data preprocessing completed
[INFO] uid2locid_time: 563 
[INFO] locid2detail: 1442 
[INFO] node_num: 2010 
[INFO] relation_num: 4 
[INFO] user_num: 563 
[INFO] train_num: 3941 
[INFO] test_num: 563 
[INFO] train_set: (3941, 14) 
[INFO] test_set: (563, 11) 
[INFO] uid_list_: 563 
[INFO] u2v: 563 
[INFO] u2vc: 563 
[INFO] v2u: 1442 
[INFO] v2vc: 1442 
========================================================================================================================================================================================================
[STATUS] Commencing training for 100 epochs

Epoch	Loss		P@10	R@10	MAP@10	NDCG@10	HR@10		P@20	R@20	MAP@20	NDCG@20	HR@20
15	0.499		0.101	0.050	0.041	0.105	0.613		0.089	0.089	0.027	0.095	0.798
16	0.484		0.097	0.049	0.039	0.102	0.602		0.088	0.088	0.026	0.094	0.803
17	0.484		0.099	0.049	0.039	0.103	0.623		0.085	0.085	0.026	0.092	0.783
18	0.496		0.094	0.047	0.037	0.098	0.599		0.085	0.085	0.025	0.091	0.794
19	0.483		0.095	0.048	0.036	0.098	0.607		0.084	0.084	0.024	0.089	0.773
20	0.484		0.093	0.046	0.036	0.096	0.600		0.084	0.084	0.024	0.089	0.785
21	0.491		0.093	0.047	0.036	0.097	0.606		0.084	0.084	0.024	0.089	0.798
22	0.481		0.091	0.045	0.034	0.092	0.593		0.083	0.083	0.023	0.086	0.794
23	0.480		0.092	0.046	0.035	0.095	0.593		0.081	0.081	0.023	0.086	0.792
24	0.485		0.094	0.047	0.035	0.096	0.611		0.080	0.080	0.023	0.085	0.776
25	0.474		0.094	0.047	0.034	0.094	0.623		0.078	0.078	0.022	0.083	0.773
26	0.464		0.086	0.043	0.033	0.089	0.584		0.077	0.077	0.021	0.082	0.782
27	0.468		0.088	0.044	0.032	0.089	0.593		0.078	0.078	0.021	0.081	0.785
28	0.463		0.087	0.043	0.030	0.086	0.611		0.080	0.080	0.021	0.082	0.796
29	0.471		0.086	0.043	0.030	0.085	0.600		0.077	0.077	0.020	0.079	0.776
30	0.470		0.085	0.042	0.028	0.083	0.591		0.076	0.076	0.019	0.078	0.778
31	0.461		0.078	0.039	0.028	0.080	0.563		0.075	0.075	0.019	0.077	0.778
32	0.474		0.078	0.039	0.027	0.079	0.563		0.075	0.075	0.019	0.076	0.764
33	0.453		0.078	0.039	0.028	0.079	0.567		0.076	0.076	0.019	0.077	0.774
34	0.457		0.081	0.040	0.031	0.085	0.568		0.076	0.076	0.020	0.080	0.778
35	0.452		0.078	0.039	0.030	0.082	0.547		0.074	0.074	0.020	0.078	0.776
36	0.452		0.078	0.039	0.029	0.082	0.552		0.075	0.075	0.020	0.078	0.774
37	0.453		0.079	0.040	0.029	0.081	0.547		0.073	0.073	0.019	0.076	0.771
38	0.460		0.081	0.040	0.029	0.082	0.558		0.073	0.073	0.019	0.076	0.757
39	0.445		0.077	0.039	0.028	0.079	0.533		0.072	0.072	0.019	0.075	0.748
40	0.453		0.078	0.039	0.029	0.080	0.536		0.072	0.072	0.019	0.075	0.757
41	0.462		0.077	0.039	0.028	0.079	0.542		0.072	0.072	0.019	0.075	0.750
42	0.448		0.077	0.038	0.028	0.078	0.538		0.071	0.071	0.019	0.074	0.741
43	0.448		0.079	0.039	0.029	0.080	0.549		0.072	0.072	0.019	0.075	0.753
44	0.456		0.077	0.038	0.028	0.079	0.542		0.072	0.072	0.019	0.075	0.750
45	0.447		0.077	0.038	0.028	0.078	0.554		0.073	0.073	0.019	0.075	0.755
46	0.448		0.074	0.037	0.026	0.076	0.538		0.069	0.069	0.018	0.072	0.737
47	0.439		0.075	0.038	0.026	0.076	0.547		0.069	0.069	0.017	0.071	0.750
48	0.451		0.071	0.035	0.025	0.073	0.531		0.069	0.069	0.017	0.071	0.744
49	0.442		0.071	0.036	0.027	0.074	0.524		0.068	0.068	0.018	0.071	0.751
50	0.437		0.070	0.035	0.026	0.073	0.508		0.068	0.068	0.017	0.070	0.741
51	0.444		0.072	0.036	0.026	0.073	0.526		0.069	0.069	0.017	0.071	0.751
52	0.442		0.069	0.035	0.024	0.070	0.506		0.067	0.067	0.016	0.068	0.730
53	0.451		0.071	0.035	0.025	0.071	0.517		0.067	0.067	0.017	0.068	0.735
54	0.439		0.072	0.036	0.024	0.071	0.524		0.066	0.066	0.016	0.068	0.728
55	0.442		0.068	0.034	0.024	0.068	0.483		0.066	0.066	0.016	0.067	0.734
56	0.445		0.066	0.033	0.023	0.067	0.480		0.065	0.065	0.016	0.066	0.734
57	0.440		0.066	0.033	0.023	0.067	0.488		0.064	0.064	0.016	0.066	0.741
58	0.442		0.066	0.033	0.022	0.065	0.488		0.064	0.064	0.015	0.064	0.728
59	0.439		0.063	0.032	0.022	0.064	0.455		0.063	0.063	0.015	0.064	0.732
60	0.446		0.062	0.031	0.021	0.062	0.462		0.060	0.060	0.014	0.060	0.703
61	0.442		0.059	0.029	0.021	0.059	0.435		0.060	0.060	0.014	0.060	0.700
62	0.426		0.063	0.031	0.023	0.064	0.474		0.061	0.061	0.015	0.063	0.710
63	0.438		0.062	0.031	0.022	0.063	0.474		0.062	0.062	0.015	0.063	0.719
64	0.444		0.065	0.033	0.022	0.065	0.496		0.063	0.063	0.015	0.063	0.734
65	0.435		0.065	0.033	0.022	0.065	0.497		0.064	0.064	0.015	0.064	0.732
66	0.446		0.064	0.032	0.022	0.064	0.501		0.065	0.065	0.015	0.064	0.728
67	0.438		0.065	0.033	0.023	0.066	0.506		0.061	0.061	0.015	0.063	0.714
68	0.439		0.061	0.031	0.022	0.063	0.481		0.060	0.060	0.015	0.062	0.702
69	0.431		0.061	0.030	0.021	0.063	0.478		0.060	0.060	0.014	0.061	0.696
70	0.434		0.059	0.029	0.021	0.061	0.465		0.059	0.059	0.014	0.060	0.698
71	0.435		0.060	0.030	0.021	0.061	0.458		0.058	0.058	0.014	0.060	0.684
72	0.439		0.057	0.029	0.020	0.058	0.449		0.059	0.059	0.014	0.059	0.703
73	0.435		0.058	0.029	0.022	0.061	0.444		0.060	0.060	0.015	0.061	0.689
74	0.440		0.058	0.029	0.021	0.060	0.446		0.060	0.060	0.014	0.060	0.698
75	0.429		0.058	0.029	0.020	0.059	0.442		0.061	0.061	0.014	0.060	0.684
76	0.433		0.060	0.030	0.021	0.061	0.453		0.060	0.060	0.014	0.061	0.679
77	0.436		0.064	0.032	0.021	0.063	0.472		0.061	0.061	0.014	0.061	0.686
78	0.438		0.062	0.031	0.021	0.062	0.464		0.061	0.061	0.014	0.061	0.691
79	0.432		0.063	0.032	0.022	0.064	0.455		0.061	0.061	0.015	0.062	0.693
80	0.422		0.063	0.031	0.022	0.064	0.460		0.060	0.060	0.015	0.062	0.693
81	0.435		0.059	0.030	0.020	0.060	0.449		0.057	0.057	0.014	0.058	0.661
82	0.423		0.062	0.031	0.022	0.063	0.472		0.060	0.060	0.015	0.061	0.702
83	0.430		0.060	0.030	0.021	0.062	0.465		0.060	0.060	0.015	0.062	0.700
84	0.435		0.063	0.032	0.022	0.064	0.492		0.058	0.058	0.014	0.060	0.698
85	0.425		0.058	0.029	0.019	0.058	0.449		0.056	0.056	0.013	0.057	0.687
86	0.424		0.058	0.029	0.020	0.059	0.451		0.056	0.056	0.014	0.058	0.668
87	0.436		0.061	0.031	0.021	0.062	0.467		0.057	0.057	0.014	0.058	0.670
88	0.430		0.064	0.032	0.023	0.066	0.465		0.060	0.060	0.015	0.062	0.698
89	0.433		0.064	0.032	0.024	0.068	0.481		0.061	0.061	0.016	0.064	0.719
90	0.435		0.062	0.031	0.022	0.064	0.465		0.061	0.061	0.015	0.062	0.700
91	0.427		0.063	0.031	0.022	0.064	0.464		0.060	0.060	0.015	0.061	0.694
92	0.436		0.059	0.030	0.020	0.060	0.456		0.059	0.059	0.014	0.059	0.694
93	0.444		0.058	0.029	0.020	0.058	0.435		0.059	0.059	0.014	0.059	0.682
94	0.438		0.060	0.030	0.020	0.060	0.455		0.059	0.059	0.014	0.059	0.689
95	0.422		0.058	0.029	0.020	0.059	0.432		0.057	0.057	0.014	0.058	0.671
96	0.434		0.060	0.030	0.021	0.061	0.448		0.058	0.058	0.014	0.059	0.679
97	0.431		0.062	0.031	0.022	0.063	0.465		0.059	0.059	0.014	0.061	0.696
98	0.427		0.059	0.030	0.021	0.061	0.446		0.058	0.058	0.014	0.059	0.668
99	0.428		0.062	0.031	0.022	0.064	0.465		0.058	0.058	0.014	0.061	0.687
100	0.433		0.062	0.031	0.021	0.063	0.472		0.057	0.057	0.014	0.059	0.668
